unique_id,price_paid,deed_date,postcode,property_type,new_build,estate_type,street,locality,town,district,county
01EB45EF-6643-40F3-E063-4704A8C05FDE,"$750,000.00",1/24/23,E1 0BE,FLAT/MAISONETTE,NO,LEASEHOLD,JOHNSON STREET,,LONDON,TOWER HAMLETS,GREATER LONDON
FAC30766-CC70-5E20-E053-4704A8C004EE,"$685,000.00",3/30/23,E1 0BE,FLAT/MAISONETTE,NO,LEASEHOLD,JOHNSON STREET,,LONDON,TOWER HAMLETS,GREATER LONDON
FAC30767-08BE-5E20-E053-4704A8C004EE,"$343,000.00",3/31/23,E1 0BH,FLAT/MAISONETTE,NO,LEASEHOLD,CANNON STREET ROAD,,LONDON,TOWER HAMLETS,GREATER LONDON
01EB45EF-ABA1-40F3-E063-4704A8C05FDE,"$423,000.00",2/17/23,E1 0BH,TERRACED,NO,LEASEHOLD,CANNON STREET ROAD,,LONDON,TOWER HAMLETS,GREATER LONDON
FD226035-BBA3-4CB7-E053-4804A8C00430,"$322,000.00",3/31/23,E1 0BY,FLAT/MAISONETTE,NO,LEASEHOLD,SAGE STREET,,LONDON,TOWER HAMLETS,GREATER LONDON
FFA361DA-BA33-8A03-E053-4804A8C01F61,"$387,000.00",5/26/23,E1 0DZ,FLAT/MAISONETTE,NO,LEASEHOLD,COBURG DWELLINGS,,LONDON,TOWER HAMLETS,GREATER LONDON
FAC30767-C9A5-5E20-E053-4704A8C004EE,"$275,000.00",3/15/23,E1 0EF,FLAT/MAISONETTE,NO,LEASEHOLD,DEVONPORT STREET,,LONDON,TOWER HAMLETS,GREATER LONDON
F5E8B082-2FF7-3A13-E053-6C04A8C060B7,"$160,000.00",1/20/23,E1 0EF,FLAT/MAISONETTE,NO,LEASEHOLD,DEVONPORT STREET,,LONDON,TOWER HAMLETS,GREATER LONDON
F5E8B082-2FF6-3A13-E053-6C04A8C060B7,"$200,000.00",1/20/23,E1 0EF,FLAT/MAISONETTE,NO,LEASEHOLD,DEVONPORT STREET,,LONDON,TOWER HAMLETS,GREATER LONDON
01EB45EF-64D8-40F3-E063-4704A8C05FDE,"$375,000.00",5/24/23,E1 0HJ,FLAT/MAISONETTE,NO,LEASEHOLD,COMMERCIAL ROAD,,LONDON,TOWER HAMLETS,GREATER LONDON
F87E72F8-89F5-176C-E053-6B04A8C0D2BE,"$445,000.00",1/27/23,E1 0HR,FLAT/MAISONETTE,NO,LEASEHOLD,BOULCOTT STREET,,LONDON,TOWER HAMLETS,GREATER LONDON
F5E8B080-D226-3A13-E053-6C04A8C060B7,"$285,000.00",1/30/23,E1 0PN,FLAT/MAISONETTE,NO,LEASEHOLD,CORNWOOD DRIVE,,LONDON,TOWER HAMLETS,GREATER LONDON
FD226036-0BD8-4CB7-E053-4804A8C00430,"$800,000.00",4/3/23,E1 0PQ,TERRACED,NO,FREEHOLD,WEST ARBOUR STREET,,LONDON,TOWER HAMLETS,GREATER LONDON
FFA361DB-0637-8A03-E053-4804A8C01F61,"$725,000.00",5/18/23,E1 0PU,TERRACED,NO,FREEHOLD,EAST ARBOUR STREET,,LONDON,TOWER HAMLETS,GREATER LONDON
F87E72F9-CF27-176C-E053-6B04A8C0D2BE,"$500,000.00",1/20/23,E1 0QJ,FLAT/MAISONETTE,NO,LEASEHOLD,SEAGRAVE CLOSE,,LONDON,TOWER HAMLETS,GREATER LONDON
FFA361DA-BAA1-8A03-E053-4804A8C01F61,"$333,000.00",3/10/23,E1 0RE,TERRACED,NO,LEASEHOLD,CHUDLEIGH STREET,,LONDON,TOWER HAMLETS,GREATER LONDON
01EB45EF-64B0-40F3-E063-4704A8C05FDE,"$293,000.00",2/20/23,E1 1AY,FLAT/MAISONETTE,NO,LEASEHOLD,CHRISTIAN STREET,,LONDON,TOWER HAMLETS,GREATER LONDON
F87E72F8-D777-176C-E053-6B04A8C0D2BE,"$500,000.00",1/30/23,E1 1ER,FLAT/MAISONETTE,NO,LEASEHOLD,COKE STREET,,LONDON,TOWER HAMLETS,GREATER LONDON
01EB45F0-8409-40F3-E063-4704A8C05FDE,"$430,000.00",3/24/23,E1 1ER,FLAT/MAISONETTE,NO,LEASEHOLD,COKE STREET,,LONDON,TOWER HAMLETS,GREATER LONDON
01EB45EF-AB87-40F3-E063-4704A8C05FDE,"$519,800.00",7/6/23,E1 1LF,FLAT/MAISONETTE,NO,LEASEHOLD,COMMERCIAL ROAD,,LONDON,TOWER HAMLETS,GREATER LONDON
FD226035-BB94-4CB7-E053-4804A8C00430,"$565,000.00",2/24/23,E1 1LF,FLAT/MAISONETTE,NO,LEASEHOLD,COMMERCIAL ROAD,,LONDON,TOWER HAMLETS,GREATER LONDON
FAC30766-CDD8-5E20-E053-4704A8C004EE,"$725,000.00",1/27/23,E1 1LQ,FLAT/MAISONETTE,NO,LEASEHOLD,BACK CHURCH LANE,,LONDON,TOWER HAMLETS,GREATER LONDON
FFA361DB-77F4-8A03-E053-4804A8C01F61,"$300,000.00",1/9/23,E1 1NY,FLAT/MAISONETTE,NO,LEASEHOLD,COMMERCIAL ROAD,,LONDON,TOWER HAMLETS,GREATER LONDON
FD226036-879E-4CB7-E053-4804A8C00430,"$305,000.00",4/6/23,E1 1NZ,FLAT/MAISONETTE,NO,LEASEHOLD,COMMERCIAL ROAD,,LONDON,TOWER HAMLETS,GREATER LONDON
FAC30767-09AC-5E20-E053-4704A8C004EE,"$186,000.00",2/3/23,E1 1PY,FLAT/MAISONETTE,NO,LEASEHOLD,UMBERSTON STREET,,LONDON,TOWER HAMLETS,GREATER LONDON
